-0.017395	-0.0302124	-0.0476074
-0.0164795	-0.0289917	-0.0454712
-0.0152588	-0.0283813	-0.0436401
-0.0134277	-0.027771	-0.0411987
-0.0119019	-0.0271606	-0.0390625
-0.0106812	-0.0256348	-0.0363159
-0.00976563	-0.0238037	-0.0335693
-0.00915527	-0.0216675	-0.0308228
-0.00854492	-0.0201416	-0.0286865
-0.00762939	-0.0195313	-0.0271606
-0.00640869	-0.0195313	-0.0259399
-0.00579834	-0.0198364	-0.0256348
-0.00518799	-0.0201416	-0.0253296
-0.00518799	-0.020752	-0.0259399
-0.00549316	-0.0210571	-0.0265503
-0.00579834	-0.0210571	-0.0268555
-0.00610352	-0.0216675	-0.027771
-0.00610352	-0.0216675	-0.027771
-0.00640869	-0.0213623	-0.027771
-0.00610352	-0.0213623	-0.0274658
-0.00579834	-0.0213623	-0.0271606
-0.00579834	-0.020752	-0.0265503
-0.00549316	-0.020752	-0.0262451
-0.00457764	-0.0213623	-0.0259399
-0.00305176	-0.0222778	-0.0253296
-0.00213623	-0.0228882	-0.0250244
-0.00213623	-0.0228882	-0.0250244
-0.00274658	-0.0222778	-0.0250244
-0.00274658	-0.022583	-0.0253296
-0.00244141	-0.0234985	-0.0259399
-0.00274658	-0.0238037	-0.0265503
-0.00366211	-0.0238037	-0.0274658
-0.00396729	-0.0238037	-0.027771
-0.00305176	-0.0241089	-0.0271606
-0.00213623	-0.0250244	-0.0271606
-0.00213623	-0.0253296	-0.0274658
-0.00305176	-0.0259399	-0.0289917
-0.00396729	-0.0262451	-0.0302124
-0.00427246	-0.0262451	-0.0305176
-0.00518799	-0.0262451	-0.0314331
-0.00671387	-0.0256348	-0.0323486
-0.00915527	-0.0247192	-0.0338745
-0.0115967	-0.0238037	-0.0354004
-0.0134277	-0.0234985	-0.0369263
-0.0152588	-0.0231934	-0.0384521
-0.0164795	-0.0231934	-0.0396729
-0.017395	-0.0234985	-0.0408936
-0.017395	-0.0244141	-0.0418091
-0.0170898	-0.0256348	-0.0427246
-0.0164795	-0.0271606	-0.0436401
-0.015564	-0.0283813	-0.0439453
